neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 14일 화요일
오후 4:51
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
45.907	23.585	16406	18596	0	736
45.907	24.486	16413	19182	0	736
46.232	25.676	16419	19518	0	736
48.215	24.991	16423	19735	0	736
49.044	22.286	16426	19865	0	736
45.763	20.014	16427	19854	0	736
41.399	14.966	16424	19637	0	736
41.652	15.362	16423	19290	0	736
42.445	17.743	16420	19073	0	736
46.989	23.368	16419	19008	0	736
53.552	28.633	16420	18954	0	736
55.427	31.662	16423	18867	0	736
53.841	30.040	16424	18737	0	736
48.684	26.145	16423	18574	0	736
44.897	24.270	16423	18444	0	736
43.455	22.791	16426	18390	0	736
43.924	24.017	16430	18379	0	736
43.058	24.306	16431	18347	0	736
42.048	20.700	16431	18238	0	736
40.714	20.411	16436	18173	0	736
40.101	18.716	16443	18238	0	736
41.868	20.808	16444	18314	0	736
43.527	23.188	16447	18238	0	736
44.428	22.791	16451	18043	0	736
39.308	22.070	16451	17880	0	736
38.586	19.365	16457	17859	0	736
37.216	17.021	16465	18021	0	736
36.711	14.028	16473	18216	0	736
36.747	14.605	16479	18260	0	736
35.197	11.648	16484	18119	0	736
35.160	13.343	16483	17848	0	736
35.124	13.487	16483	17436	0	736
36.098	13.199	16473	16926	0	736
38.154	15.975	16467	16384	0	736
39.488	15.218	16459	15777	0	736
39.019	17.310	16444	15072	0	736
39.091	16.841	16431	14378	0	736
38.442	17.238	16418	13803	0	736
37.432	16.625	16401	13304	0	736
38.767	19.329	16385	12816	0	736
38.478	18.716	16367	12274	0	736
40.498	19.762	16349	11807	0	736
40.786	17.418	16337	11645	0	736
42.265	18.644	16324	11721	0	736
43.924	18.139	16311	11797	0	736
46.809	23.008	16296	11786	0	736
49.621	25.424	16283	11699	0	736
49.657	29.066	16268	11699	0	736
51.641	28.381	16252	11851	0	736
49.585	26.758	16243	12122	0	736
46.304	23.368	16231	12350	0	736
42.986	16.769	16217	12480	0	736
38.370	13.271	16205	12632	0	736
34.620	8.871	16193	12903	0	736
33.934	8.222	16184	13185	0	736
34.583	10.422	16169	13337	0	736
36.026	13.776	16156	13380	0	736
38.478	14.208	16144	13467	0	736
38.514	15.867	16132	13684	0	736
39.849	16.625	16120	13998	0	736
41.724	19.221	16112	14313	0	736
44.501	23.404	16099	14508	0	736
47.133	28.561	16085	14443	0	736
47.422	30.725	16066	14194	0	736
44.753	27.299	16052	14107	0	736
41.507	23.837	16040	14313	0	736
40.209	21.168	16030	14595	0	736
44.356	23.332	16021	14888	0	736
51.064	29.968	16015	15235	0	736
59.899	39.272	16007	15528	0	736
64.154	43.635	15999	15690	0	736
62.243	44.248	15992	15896	0	736
56.581	39.416	15988	16309	0	736
49.874	33.934	15986	16731	0	736
48.539	31.266	15980	16937	0	736
50.126	30.076	15972	16969	0	736
53.228	29.102	15966	17013	0	736
51.424	27.155	15962	17132	0	736
46.376	21.024	15959	17338	0	736
35.882	14.533	15959	17566	0	736
27.660	6.094	15954	17761	0	736
17.310	-4.039	15954	17924	0	736
7.321	-12.766	15958	18184	0	736
-2.993	-25.316	15960	18542	0	736
-14.605	-34.944	15959	18705	0	736
-22.178	-41.940	15951	18390	0	736
-28.056	-47.133	15946	17880	0	736
-30.653	-51.100	15939	17663	0	736
-32.312	-54.165	15939	17739	0	736
-34.295	-57.266	15938	17848	0	736
-36.206	-59.178	15939	17978	0	736
-33.970	-57.158	15949	18314	0	736
-31.735	-54.850	15960	18921	0	736
-27.335	-50.307	15975	19637	0	736
-23.909	-47.962	15997	20407	0	736
-23.044	-47.205	16020	21188	0	736
-21.493	-46.809	16046	21980	0	736
-18.247	-45.438	16073	22728	0	736
-15.543	-40.966	16103	23466	0	736
-11.900	-36.170	16134	24160	0	736
-7.753	-32.276	16165	24702	0	736
-8.330	-30.472	16196	25028	0	736
-7.321	-31.230	16222	25180	0	736
-5.950	-31.662	16250	25223	0	736
-4.796	-31.230	16277	25158	0	736
-2.777	-29.823	16297	24865	0	736
0.361	-27.191	16317	24269	0	736
1.875	-25.316	16332	23553	0	736
2.633	-23.260	16349	22934	1	620
3.606	-20.555	16367	22436	0	620
6.924	-16.120	16384	21969	0	620
9.989	-12.297	16401	21579	0	620
14.569	-8.547	16420	21232	0	620
20.411	-2.200	16438	20830	0	620
26.001	3.895	16452	20353	0	620
34.475	11.035	16469	19843	0	620
42.301	20.483	16483	19399	0	620
49.297	27.479	16498	18997	0	620
53.841	32.744	16509	18488	0	620
52.831	32.780	16518	17924	0	620
51.641	33.033	16533	17566	0	620
51.352	33.033	16549	17468	0	620
53.985	34.656	16566	17403	0	620
56.978	38.478	16575	17154	0	620
60.188	42.265	16586	16763	0	620
63.217	45.655	16595	16384	0	620
66.751	51.821	16604	16103	0	620
77.966	68.590	16612	15842	0	620
97.692	90.263	16619	15560	0	620
116.336	111.035	16629	15376	0	620
126.650	123.188	16645	15506	0	620
127.984	120.050	16661	15886	0	620
118.860	114.353	16681	16200	0	620
115.507	112.009	16690	16319	0	620
119.437	116.589	16702	16233	0	620
128.489	126.253	16708	15962	0	620
137.865	133.141	16715	15690	0	620
139.776	132.456	16722	15473	0	620
134.331	127.732	16723	15213	0	620
127.047	122.358	16724	14834	0	620
119.942	115.723	16723	14421	0	620
115.110	111.540	16720	14020	0	620
109.340	104.508	16715	13619	0	620
101.118	95.853	16708	13185	0	620
90.588	81.284	16703	12740	0	620
74.829	65.813	16691	12317	0	620
57.663	47.530	16683	12003	0	620
42.229	31.807	16674	11775	0	620
26.650	15.146	16664	11547	0	620
9.953	-0.325	16654	11319	0	620
-6.419	-17.995	16641	11113	0	620
-24.053	-35.557	16623	10864	0	620
-39.272	-51.713	16604	10495	0	620
-53.624	-66.066	16586	10094	0	620
-62.568	-76.415	16568	9899	0	620
-70.177	-85.034	16550	9866	0	620
-73.819	-90.552	16530	9758	0	620
-76.524	-97.367	16510	9552	0	620
-78.796	-101.262	16484	9367	0	620
-77.750	-102.452	16464	9324	0	620
-76.307	-98.990	16444	9454	0	620
-68.518	-89.578	16427	9779	0	620
-55.968	-79.228	16413	10213	0	620
-40.750	-66.030	16399	10636	0	620
-25.893	-53.624	16387	11157	0	620
-13.884	-41.471	16384	11905	0	620
0.216	-25.676	16381	12773	0	620
14.245	-10.566	16375	13565	0	620
31.699	6.816	16370	14194	0	620
50.343	24.594	16367	14768	0	620
68.590	40.858	16365	15441	0	620
84.097	57.988	16369	16265	0	620
98.846	74.107	16375	17088	0	620
114.389	91.381	16378	17718	0	620
129.463	106.491	16378	18130	0	620
141.255	118.247	16381	18477	0	620
149.621	126.578	16383	18824	0	620
154.309	130.112	16385	19117	0	620
154.201	133.898	16386	19301	0	620
152.903	135.377	16386	19366	0	620
153.083	133.970	16386	19323	0	620
149.080	129.174	16385	19203	0	620
144.068	124.198	16384	19052	0	620
135.233	114.641	16381	18846	0	620
126.109	107.501	16375	18531	0	620
117.454	100.577	16365	18086	0	620
111.828	94.555	16351	17479	0	620
108.042	89.434	16341	16850	0	620
106.239	88.821	16334	16514	0	620
104.003	86.585	16328	16384	0	620
101.226	84.025	16316	16168	0	620
96.935	81.680	16304	15734	0	620
92.175	75.730	16288	15213	0	620
85.431	70.573	16275	14736	0	620
77.858	64.876	16262	14465	0	620
74.648	60.476	16252	14421	0	620
71.042	58.565	16244	14508	0	620
69.419	55.824	16235	14552	0	620
68.049	55.211	16225	14530	0	620
66.210	51.208	16219	14617	0	620
60.368	49.693	16217	14888	0	620
55.896	44.681	16211	15170	0	620
53.047	42.806	16209	15365	0	620
50.018	41.291	16205	15582	0	620
50.018	39.596	16204	15864	0	620
49.441	36.891	16200	16059	0	620
46.556	35.269	16196	16168	0	620
42.012	31.158	16192	16244	0	620
38.118	29.246	16189	16341	0	620
37.324	31.122	16185	16416	0	620
43.743	36.278	16182	16514	0	620
52.831	44.609	16180	16687	0	620
62.135	50.811	16178	16872	0	620
68.987	58.997	16176	16947	0	620
76.307	67.364	16176	16893	0	620
87.667	80.887	16172	16893	0	620
104.652	100.216	16169	16969	0	620
129.174	122.214	16164	16958	0	620
148.035	142.337	16160	16806	0	620
165.380	157.483	16156	16698	0	620
178.615	174.721	16153	16665	0	620
195.709	194.230	16147	16622	0	620
220.555	220.195	16143	16503	0	620
251.424	251.569	16137	16341	0	620
284.025	281.572	16130	16146	0	620
313.776	306.924	16120	15929	0	620
338.406	329.354	16112	15701	0	620
359.683	346.881	16100	15473	0	620
379.481	365.344	16093	15224	0	620
401.875	385.395	16079	14909	0	620
423.440	408.727	16063	14497	0	620
445.041	431.879	16046	14042	0	620
463.253	453.877	16032	13684	0	620
479.661	470.285	16021	13673	0	620
491.670	483.592	16021	14150	0	620
503.714	495.564	16021	14855	0	620
519.582	512.369	16021	15343	0	620
537.360	534.151	16020	15625	0	620
557.735	556.798	16019	15886	0	620
572.088	576.199	16015	16070	0	620
586.441	590.011	16012	16168	0	620
590.804	590.804	16007	16189	0	620
590.804	590.804	16000	16178	0	620
590.804	590.804	15995	16189	0	620
590.804	590.804	15993	16298	0	620
590.804	590.804	15991	16459	0	620
590.804	590.804	15986	16492	0	620
590.804	590.804	15980	16427	0	620
590.804	590.804	15978	16438	0	620
590.804	590.804	15978	16633	0	620
590.804	590.804	15980	16926	0	620
590.804	590.804	15979	17132	0	620
590.804	590.804	15975	17154	0	620
590.804	590.804	15968	16926	0	620
590.804	590.804	15960	16557	0	620
590.804	590.804	15958	16352	0	620
590.804	590.804	15951	16384	0	620
590.804	583.195	15954	16600	0	620
590.804	578.651	15958	16958	0	620
590.804	580.418	15960	17327	0	620
590.804	583.628	15971	17750	0	620
590.804	590.047	15987	18466	0	620
590.804	590.804	16004	19312	0	620
590.804	590.804	16017	19843	0	620
590.804	590.804	16027	19974	0	620
590.804	590.804	16037	20017	0	620
590.804	590.804	16048	20147	0	620
590.804	590.804	16058	20321	0	620
590.804	588.929	16074	20505	0	620
590.804	585.972	16091	20765	0	620
590.804	579.336	16106	21015	0	620
582.871	569.203	16120	21047	0	620
564.407	548.756	16131	20895	0	620
540.389	521.493	16147	20852	0	620
510.999	493.437	16165	21015	0	620
481.644	463.505	16182	21177	0	620
453.228	433.249	16204	21286	0	620
422.791	400.325	16225	21416	0	620
393.617	368.482	16246	21579	0	620
366.823	337.432	16266	21655	0	620
343.887	309.629	16283	21557	0	620
327.119	290.011	16304	21384	0	620
311.720	271.006	16324	21318	0	620
297.115	256.293	16349	21416	0	620
278.687	238.442	16370	21514	1	704
252.723	210.783	16387	21405	0	704
217.851	173.603	16407	21156	0	704
173.639	128.525	16427	20895	0	704
129.463	83.772	16446	20679	0	704
95.060	50.992	16463	20440	0	704
79.913	37.360	16483	20147	0	704
78.002	36.314	16496	19789	0	704
80.130	38.262	16509	19355	0	704
79.156	37.649	16522	18867	0	704
73.819	33.502	16530	18357	0	704
68.193	30.545	16538	17826	0	704
67.797	32.095	16543	17186	0	704
72.737	38.226	16545	16470	0	704
75.081	42.265	16546	15810	0	704
75.658	41.075	16546	15235	0	704
72.196	38.262	16550	14725	0	704
72.737	37.072	16546	14215	0	704
71.908	36.855	16542	13684	0	704
70.537	34.764	16535	13098	0	704
64.695	31.302	16529	12512	0	704
58.096	25.063	16524	12068	0	704
49.080	22.322	16516	11818	0	704
51.280	23.332	16506	11591	0	704
56.437	28.201	16500	11341	0	704
65.885	34.583	16489	11059	0	704
75.153	40.101	16479	10864	0	704
81.212	44.248	16473	10864	0	704
86.513	50.198	16465	10983	0	704
93.148	61.053	16454	11027	0	704
101.118	71.439	16443	10940	0	704
108.042	83.375	16431	10875	0	704
120.195	92.968	16420	10962	0	704
127.227	102.488	16411	11124	0	704
139.344	112.261	16401	11287	0	704
152.831	123.945	16393	11504	0	704
167.688	138.695	16386	11829	0	704
182.979	152.326	16382	12198	0	704
195.384	163.686	16377	12621	0	704
206.275	175.586	16374	13131	0	704
216.048	188.136	16371	13662	0	704
225.099	197.512	16369	14118	0	704
230.256	205.698	16363	14378	0	704
232.961	208.078	16357	14508	0	704
230.328	207.248	16351	14725	0	704
231.266	207.537	16348	15040	0	704
239.704	215.723	16348	15398	0	704
255.319	227.876	16348	15810	0	704
271.908	245.546	16351	16298	0	704
284.998	258.997	16354	16774	0	704
293.437	265.705	16354	17110	0	704
299.784	272.016	16355	17284	0	704
305.229	275.766	16354	17360	0	704
312.658	280.058	16350	17381	0	704
316.120	283.736	16350	17338	0	704
315.002	284.818	16344	17219	0	704
314.353	285.936	16337	17078	0	704
315.867	288.821	16334	16937	0	704
323.080	295.925	16325	16698	0	704
333.790	305.770	16316	16384	0	704
348.215	316.336	16312	16233	0	704
359.394	326.073	16314	16405	0	704
369.131	333.610	16312	16709	0	704
377.209	341.688	16311	16817	0	704
389.722	353.768	16304	16655	0	704
408.114	374.071	16303	16503	0	704
438.334	400.721	16301	16524	0	704
470.609	433.754	16296	16546	0	704
503.570	463.325	16292	16492	0	704
528.345	487.378	16288	16427	0	704
544.825	505.193	16284	16384	0	704
557.086	516.084	16284	16374	0	704
562.135	521.313	16279	16405	0	704
562.423	521.529	16279	16459	0	704
559.214	519.005	16275	16438	0	704
554.201	518.860	16271	16374	0	704
553.119	523.260	16268	16352	0	704
556.257	532.780	16270	16416	0	704
562.964	543.527	16268	16492	0	704
566.030	550.090	16262	16438	0	704
567.400	556.473	16258	16287	0	704
571.872	561.342	16255	16200	0	704
576.451	568.338	16251	16233	0	704
581.284	576.956	16250	16244	0	704
585.395	581.176	16246	16211	0	704
580.130	577.209	16244	16265	0	704
575.225	573.314	16242	16352	0	704
569.960	568.157	16239	16330	0	704
565.489	561.918	16237	16233	0	704
555.608	552.939	16233	16135	0	704
537.577	533.213	16226	16037	0	704
510.566	506.599	16219	15875	0	704
481.933	477.173	16211	15680	0	704
455.283	451.136	16206	15560	0	704
433.862	430.292	16202	15506	0	704
417.310	414.353	16197	15484	0	704
401.983	396.718	16189	15398	0	704
386.982	380.346	16178	15159	0	704
371.150	363.109	16172	14899	0	704
350.523	338.478	16164	14834	0	704
320.808	306.924	16159	14985	0	704
279.697	264.695	16153	15116	0	704
232.961	219.005	16145	15072	0	704
184.097	172.773	16136	14866	0	704
141.003	131.085	16123	14638	0	704
106.203	98.594	16114	14486	0	704
73.494	63.830	16104	14465	0	704
37.360	27.912	16098	14530	0	704
-5.013	-13.018	16086	14530	0	704
-51.208	-56.437	16078	14454	0	704
-90.696	-94.951	16071	14497	0	704
-120.736	-123.945	16063	14703	0	704
-143.347	-144.248	16058	14920	0	704
-165.128	-167.833	16052	15007	0	704
-191.093	-193.401	16044	15083	0	704
-219.978	-222.899	16038	15235	0	704
-246.232	-249.513	16030	15343	0	704
-260.765	-268.518	16021	15332	0	704
-273.999	-280.418	16015	15322	0	704
-288.063	-299.207	16008	15376	0	704
-306.708	-317.887	16004	15549	0	704
-328.201	-339.055	16001	15842	0	704
-345.114	-357.952	16001	16244	0	704
-360.801	-371.763	16007	16676	0	704
-378.002	-389.578	16008	17099	0	704
-401.695	-411.792	16008	17338	0	704
-434.656	-441.399	16005	17370	0	704
-469.347	-473.170	16004	17262	0	704
-508.114	-510.242	15997	17154	0	704
-544.428	-550.415	15993	17099	0	704
-582.943	-590.840	15988	17067	0	704
-590.840	-590.840	15984	16958	0	704
-590.840	-590.840	15978	16796	0	704
-590.840	-590.840	15974	16665	0	704
-590.840	-590.840	15971	16644	0	704
-590.840	-590.840	15972	16796	0	704
-590.840	-590.840	15971	17002	0	704
-590.840	-590.840	15968	17088	0	704
-590.840	-590.840	15972	17175	0	704
-590.840	-590.840	15978	17490	0	704
-590.840	-590.840	15991	18021	0	704
-590.840	-590.840	15999	18520	0	704
-584.998	-590.840	16008	18921	0	704
-549.044	-572.016	16027	19453	0	704
-510.819	-532.816	16046	20212	0	704
-480.635	-499.784	16071	21047	0	704
-458.637	-477.533	16098	21817	0	704
-444.284	-460.404	16123	22490	0	704
-431.662	-445.041	16151	23086	0	704
-411.648	-424.919	16182	23661	0	704
-387.198	-402.128	16215	24269	0	704
-364.731	-382.726	16248	24843	0	704
-343.347	-364.263	16279	25169	0	704
-326.650	-348.467	16301	25028	0	704
-306.455	-327.155	16322	24561	0	704
-283.087	-304.111	16345	24138	0	704
-260.007	-279.841	16370	23900	0	704
-242.625	-263.253	16390	23618	1	628
-228.922	-249.369	16407	23184	0	628
-219.618	-238.514	16426	22652	0	628
-208.006	-229.066	16446	22099	0	628
-197.908	-217.995	16460	21590	0	628
-188.965	-210.458	16479	21026	0	628
-186.909	-210.097	16487	20299	0	628
-184.457	-205.734	16496	19410	0	628
-180.346	-198.594	16498	18477	0	628
-170.465	-189.037	16502	17511	0	628
-157.591	-176.091	16502	16590	0	628
-146.772	-167.833	16504	15896	0	628
-134.115	-159.358	16510	15408	0	628
-120.231	-148.684	16512	14996	0	628
-106.744	-136.098	16517	14703	0	628
26.217	19.293	16149	13879	0	636
28.922	22.286	16136	13749	0	636
34.403	26.650	16124	13738	0	636
37.505	27.479	16112	13760	0	636
37.793	27.479	16099	13727	0	636
36.711	26.974	16086	13706	0	636
34.439	26.866	16081	13847	0	636
32.095	25.171	16073	14096	0	636
31.807	22.467	16063	14291	0	636
29.607	19.906	16052	14356	0	636
28.814	15.795	16041	14400	0	636
27.299	16.336	16033	14530	0	636
29.751	18.175	16027	14714	0	636
31.771	22.791	16017	14866	0	636
33.069	23.549	16008	14996	0	636
33.718	24.306	16001	15181	0	636
31.879	24.739	15997	15452	0	636
29.427	23.188	15997	15842	0	636
29.679	22.899	15997	16319	0	636
29.318	24.991	15999	16817	0	636
32.095	23.152	16001	17316	0	636
32.420	21.781	16008	17848	0	636
30.581	21.241	16019	18488	0	636
28.489	20.087	16032	19193	0	636
25.748	21.277	16045	19822	0	636
24.162	19.257	16057	20321	0	636
24.089	18.680	16070	20765	0	636
26.217	16.156	16086	21210	0	636
28.164	14.317	16103	21633	0	636
28.633	14.064	16123	22045	0	636
29.354	17.454	16140	22425	0	636
29.102	16.625	16159	22685	0	636
28.489	19.149	16176	22739	0	636
27.624	18.716	16193	22718	0	636
29.102	19.978	16217	22934	0	636
28.741	20.267	16244	23390	0	636
27.696	20.339	16271	23748	0	636
27.984	22.070	16291	23748	0	636
27.696	22.034	16312	23498	0	636
29.391	23.765	16330	23238	0	636
33.429	26.686	16351	23086	0	636
37.144	28.345	16374	22902	0	636
39.308	29.354	16390	22587	0	636
35.954	29.318	16410	22251	0	636
32.600	26.650	16427	21980	0	636
26.938	23.657	16447	21731	0	636
23.224	20.627	16467	21438	0	636
25.207	21.745	16484	21069	0	636
29.679	22.683	16502	20700	0	636
33.141	24.811	16518	20364	0	636
37.036	29.210	16538	20060	0	636
37.757	30.689	16557	19843	0	636
35.990	29.571	16576	19702	0	636
32.492	27.660	16590	19388	0	636
29.787	21.709	16596	18639	0	636
25.460	16.156	16601	17663	0	636
22.431	10.386	16605	16937	0	636
18.536	9.232	16612	16546	0	636
18.644	10.278	16621	16189	0	636
20.303	13.018	16628	15766	0	636
20.195	14.317	16634	15441	0	636
23.080	16.444	16638	15224	0	636
24.162	16.480	16645	14964	0	636
25.929	18.824	16649	14714	0	636
29.066	21.637	16657	14584	0	636
28.886	23.008	16658	14443	0	636
22.070	16.444	16658	14118	0	636
13.631	8.907	16657	13651	0	636
5.445	0.577	16656	13272	0	636
0.144	-1.515	16654	13033	0	636
5.698	3.101	16648	12816	0	636
13.343	11.576	16642	12545	0	636
18.356	15.435	16634	12252	0	636
23.080	20.411	16631	12035	0	636
22.575	20.555	16624	11938	0	636
21.168	20.952	16617	11916	0	636
24.342	24.847	16609	11883	0	636
27.119	27.407	16603	11818	0	636
33.754	31.482	16595	11797	0	636
38.803	36.603	16590	11873	0	636
43.996	41.652	16583	12024	0	636
47.277	46.809	16576	12165	0	636
48.612	50.162	16566	12220	0	636
45.510	47.746	16557	12230	0	636
39.849	44.681	16550	12350	0	636
35.052	41.327	16543	12588	0	636
38.622	43.022	16537	12849	0	636
47.494	49.116	16531	13001	0	636
57.807	57.916	16518	13044	0	636
66.751	62.712	16509	13033	0	636
67.652	62.568	16498	13098	0	636
65.236	61.197	16491	13283	0	636
62.532	60.260	16483	13478	0	636
65.092	62.928	16473	13673	0	636
70.754	68.374	16469	13944	0	636
75.766	74.432	16464	14324	0	636
78.940	76.704	16465	14801	0	636
81.536	76.560	16465	15376	0	636
83.051	77.822	16469	15972	0	636
84.890	80.563	16471	16481	0	636
91.742	84.529	16476	16904	0	636
95.492	91.634	16476	17273	0	636
95.709	94.807	16480	17566	0	636
98.017	98.630	16483	17804	0	636
100.649	103.210	16484	17945	0	636
107.645	108.330	16480	17945	0	636
115.579	113.956	16484	17913	0	636
124.594	119.257	16485	18065	0	636
127.984	122.250	16493	18357	0	636
132.528	128.309	16493	18477	0	636
133.970	132.961	16491	18260	0	636
138.550	138.478	16487	17848	0	636
141.507	142.301	16476	17360	0	636
147.169	144.428	16467	16850	0	636
150.956	145.618	16457	16330	0	636
152.867	145.005	16439	15712	0	636
152.398	146.232	16424	15040	0	636
150.198	143.815	16410	14486	0	636
147.494	141.003	16397	14183	0	636
143.924	138.731	16386	14063	0	636
142.986	135.737	16377	13988	0	636
140.678	134.403	16365	13901	0	636
138.334	131.626	16354	13771	0	636
137.901	128.669	16337	13499	0	636
137.505	126.686	16322	13174	0	636
134.043	119.906	16308	13033	0	636
129.607	115.543	16296	13076	0	636
122.214	108.547	16284	13207	0	636
118.283	102.669	16277	13434	0	636
115.435	97.692	16270	13771	0	636
115.290	95.889	16264	14150	0	636
111.540	93.473	16262	14519	0	636
105.950	88.929	16255	14899	0	636
93.906	79.084	16252	15289	0	636
80.238	66.787	16251	15636	0	636
69.023	57.807	16246	15983	0	636
60.692	51.244	16248	16287	0	636
57.519	47.638	16243	16481	0	636
57.447	45.691	16239	16590	0	636
54.922	40.534	16231	16546	0	636
51.244	31.951	16225	16481	0	636
44.176	25.676	16225	16676	0	636
37.829	22.827	16229	17154	0	636
34.836	21.204	16230	17555	0	636
34.259	24.089	16229	17609	0	636
34.403	26.217	16222	17403	0	636
36.783	27.299	16215	17186	0	636
38.658	29.787	16210	17099	0	636
43.743	34.692	16210	17132	0	636
47.277	38.622	16204	17088	1	1064
48.792	44.212	16197	16882	0	1064
52.398	47.638	16190	16655	0	1064
54.093	52.398	16186	16600	0	1064
60.115	56.581	16186	16676	0	1064
68.698	65.994	16184	16774	0	1064
76.415	74.035	16180	16774	0	1064
82.330	81.212	16176	16720	0	1064
85.755	83.448	16172	16665	0	1064
85.539	88.316	16169	16579	0	1064
88.136	88.713	16160	16384	0	1064
88.208	91.129	16152	16092	0	1064
89.290	90.876	16143	15810	0	1064
88.316	90.299	16134	15636	0	1064
87.703	85.647	16131	15604	0	1064
86.369	86.008	16126	15669	0	1064
90.480	86.982	16118	15690	0	1064
95.168	94.446	16110	15473	0	1064
102.200	99.748	16090	14931	0	1064
105.085	102.633	16073	14291	0	1064
106.094	103.967	16060	13922	0	1064
105.986	103.750	16046	13803	0	1064
107.068	105.590	16033	13781	0	1064
111.071	109.665	16027	13847	0	1064
114.245	111.432	16019	14031	0	1064
113.523	110.674	16015	14389	0	1064
115.398	111.432	16019	15029	0	1064
116.697	113.668	16024	15810	0	1064
120.014	120.736	16025	16363	0	1064
125.063	124.198	16024	16514	0	1064
124.053	125.568	16019	16492	0	1064
119.798	117.526	16017	16524	0	1064
110.638	109.592	16013	16720	0	1064
104.580	103.173	16017	17034	0	1064
102.019	101.659	16019	17349	0	1064
102.272	102.272	16020	17555	0	1064
102.164	103.426	16021	17707	0	1064
98.233	97.259	16025	17902	0	1064
83.916	84.025	16028	18151	0	1064
69.239	67.977	16037	18433	0	1064
54.526	51.533	16044	18737	0	1064
44.645	42.661	16053	19062	0	1064
40.173	38.262	16065	19366	0	1064
34.620	33.934	16073	19637	0	1064
27.227	27.551	16085	19898	0	1064
17.238	18.824	16097	20180	0	1064
9.484	9.268	16114	20462	0	1064
4.616	4.508	16130	20798	0	1064
1.226	0.433	16152	21286	0	1064
-1.226	-2.092	16178	21882	0	1064
-3.750	-6.094	16200	22381	0	1064
-6.924	-10.206	16223	22707	0	1064
-9.052	-10.350	16250	22934	0	1064
-12.766	-12.550	16272	23086	0	1064
-14.208	-12.441	16295	23173	0	1064
-18.464	-11.756	16318	23184	0	1064
-16.516	-13.776	16342	23141	0	1064
-20.519	-18.211	16365	23141	0	1064
-21.745	-24.450	16391	23184	0	1064
-30.436	-35.918	16417	23195	0	1064
-41.219	-47.205	16439	23086	0	1064
-51.929	-56.076	16464	22859	0	1064
-57.447	-61.197	16484	22511	0	1064
-63.794	-64.803	16500	21904	0	1064
-70.465	-72.701	16510	21091	0	1064
-79.445	-80.707	16522	20342	0	1064
-87.667	-91.021	16537	19767	0	1064
-94.519	-96.538	16546	19225	0	1064
-93.761	-99.207	16553	18564	0	1064
-92.824	-98.197	16563	17880	0	1064
-96.105	-100.180	16572	17436	0	1064
-101.479	-103.750	16582	17067	0	1064
-108.006	-110.169	16583	16405	0	1064
-115.254	-113.559	16582	15528	0	1064
-116.697	-118.067	16579	14736	0	1064
-116.552	-122.611	16579	14172	0	1064
-117.490	-125.099	16579	13781	0	1064
-118.428	-128.814	16579	13532	0	1064
-117.779	-132.167	16583	13380	0	1064
-119.221	-133.538	16583	13228	1	316
-122.575	-135.954	16584	13131	0	316
-127.155	-141.724	16588	13142	0	316
-136.459	-148.792	16595	13304	0	316
-145.186	-155.608	16599	13554	0	316
-151.605	-162.532	16603	13716	0	316
-152.470	-165.669	16605	13792	0	316
-157.771	-170.609	16609	13912	0	316
-163.722	-178.146	16616	14139	0	316
-173.530	-186.224	16621	14345	0	316
-179.409	-190.912	16621	14400	0	316
-179.913	-190.588	16619	14335	0	316
-175.947	-185.611	16616	14139	0	316
-173.314	-183.520	16611	13825	0	316
-175.658	-187.486	16603	13521	0	316
-179.481	-191.814	16596	13293	0	316
-181.212	-194.519	16586	13131	0	316
-175.838	-189.903	16579	12946	0	316
-168.734	-179.084	16568	12729	0	316
-157.591	-168.374	16563	12675	0	316
-143.094	-156.401	16564	12990	0	316
-125.748	-139.596	16564	13554	0	316
-103.606	-117.815	16563	13955	0	316
-78.327	-92.391	16562	14139	0	316
-57.447	-68.229	16558	14291	0	316
-42.625	-50.415	16557	14465	0	316
-29.499	-36.675	16553	14638	0	316
-22.214	-26.650	16549	14758	0	316
-10.999	-16.805	16543	14747	0	316
1.370	-4.255	16533	14573	0	316
14.136	8.511	16522	14302	0	316
29.210	21.313	16509	13998	0	316
39.921	34.908	16498	13814	0	316
46.051	43.671	16487	13727	0	316
46.700	45.258	16473	13619	0	316
44.645	44.320	16464	13532	0	316
43.924	46.917	16452	13586	0	316
50.739	55.716	16450	13814	0	316
65.669	71.331	16444	14194	0	316
80.671	89.073	16439	14606	0	316
90.299	97.223	16440	14996	0	316
86.116	94.879	16439	15387	0	316
76.668	84.457	16439	15821	0	316
62.784	70.429	16439	16211	0	316
55.319	61.810	16440	16514	0	316
54.886	60.368	16443	16796	0	316
61.955	64.190	16440	17023	0	316
66.282	69.383	16443	17197	0	316
66.607	69.023	16444	17349	0	316
58.961	60.692	16440	17457	0	316
47.061	49.189	16436	17327	0	316
35.521	36.314	16427	16937	0	316
28.886	28.525	16418	16546	0	316
26.037	24.558	16411	16352	0	316
26.794	24.991	16405	16233	0	316
24.017	23.945	16399	16103	0	316
24.522	22.863	16390	15962	0	316
23.404	23.549	16384	15831	0	316
22.935	21.132	16378	15723	0	316
21.926	23.621	16370	15636	0	316
21.385	25.460	16367	15560	0	316
20.014	25.640	16357	15452	0	316
22.142	27.263	16344	15213	0	316
27.948	31.013	16329	14834	0	316
36.242	36.639	16314	14378	0	316
